Filename,OCR,Correct Label,Auto Correct,Result
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/004311/1.json,WARRANTEK JOINT STOCK COMPANY - TESTING CENTER,Unknown,Công ty Cổ phần Warrantek,Unknown
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/015183/1.json,SỞ Y TẾ HÀ NỘI |TRUNG TÂM KIỂM NGHIỆM,"TRUNG TÂM KIỂM NGHIỆM THUỐC, MỸ PHẨM, THỰC PHẨM - SỞ Y TẾ HÀ NỘI","TRUNG TÂM KIỂM NGHIỆM THUỐC, MỸ PHẨM, THỰC PHẨM - SỞ Y TẾ HÀ NỘI",True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001112/1.json,"CÔNG TY TNHH PHÂN TÍCH KIỂM NGHIỆM VIỆT TÍN |VIET TIN TESTING CO., LTD",CÔNG TY TNHH PHÂN TÍCH KIỂM NGHIỆM VIỆT TÍN,CÔNG TY TNHH PHÂN TÍCH KIỂM NGHIỆM VIỆT TÍN,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/004856/1.json,TRUNG TÂM PHÂN TÍCH VÀ GIÁM ĐỊNH THỰC PHẨM QUỐC GIA |NATIONAL CENTER FOR FOOD ANALYSIS AND ASSESSMENT |ISO/IEC 17025 - VILAS 259,TRUNG TÂM PHÂN TÍCH VÀ GIÁM ĐỊNH THỰC PHẨM QUỐC GIA - VIỆN CÔNG NGHIỆP THỰC PHẨM,TRUNG TÂM PHÂN TÍCH VÀ GIÁM ĐỊNH THỰC PHẨM QUỐC GIA - VIỆN CÔNG NGHIỆP THỰC PHẨM,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001404/1.json,TRUNG TÂM KỸ THUẬT TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG 3 |QUALITY ASSURANCE & TESTING CENTER 3,TRUNG TÂM KỸ THUẬT TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG 3,TRUNG TÂM KỸ THUẬT TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG 3,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/033268/1.json,VIỆN HÀN LÂM |KHOA HỌC VÀ CÔNG NGHỆ VN |VIỆN KHOA HỌC VẬT LIỆU,VIỆN KHOA HỌC VẬT LIỆU - VIỆN HÀN LÂM KHOA HỌC VÀ CÔNG NGHỆ VN,VIỆN KHOA HỌC VẬT LIỆU - VIỆN HÀN LÂM KHOA HỌC VÀ CÔNG NGHỆ VN,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/004882/1.json,TRUNG TÂM NGHIÊN CỨU THỰC PHẨM & MỸ PHÂN |PHÒNG THÍ NGHIỆM THỰC PHẨM & MỸ PHẨM,PHÒNG THÍ NGHIỆM THỰC PHẨM & MỸ PHẨM - TRUNG TÂM NGHIÊN CỨU THỰC PHẨM & MỸ PHẨM,PHÒNG THÍ NGHIỆM THỰC PHẨM & MỸ PHẨM - TRUNG TÂM NGHIÊN CỨU THỰC PHẨM & MỸ PHẨM,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001908/1.json,SỞ Y TẾ HÀ NỘI |HANOI DEPARTMENT OF HEALTH |TRUNG TÂM Y TẾ DỰ PHÒNG,TRUNG TÂM Y TẾ DỰ PHÒNG- SỞ Y TẾ HÀ NỘI,TRUNG TÂM Y TẾ DỰ PHÒNG- SỞ Y TẾ HÀ NỘI,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/002501/1.json,TRUNG TÂM Y TẾ DỰ PHÒNG HẢI PHÒNG |KHOA XÉT NGHIỆM,KHOA XÉT NGHIỆM - TRUNG TÂM Y TẾ DỰ PHÒNG HẢI PHÒNG,KHOA XÉT NGHIỆM - TRUNG TÂM Y TẾ DỰ PHÒNG HẢI PHÒNG,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001492/1.json,TRUNG TÂM KỸ THUẬT TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG 3 |QUALITY ASSURANCE & TESTING CENTER 3,Unknown,TRUNG TÂM KỸ THUẬT TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG 3,Unknown
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001580/1.json,PHÒNG KIỂM TRA CHẤT LƯỢNG,PHÒNG KIỂM TRA CHẤT LƯỢNG - CÔNG TY CP DƯỢC PHẨM TRƯỜNG THỌ,PHÒNG KIỂM TRA CHẤT LƯỢNG - CÔNG TY CP DƯỢC PHẨM TRƯỜNG THỌ,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/012618/1.json,TRUNG TÂM KỸ THUẬT |TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG CẦN THƠ |CANTHO TECHNICAL CENTER OF STANDARDS METROLOGY AND QUALITY,Trung tâm Kỹ thuật Tiêu chuẩn Đo lường Chất lượng Cần Thơ,Trung tâm Kỹ thuật Tiêu chuẩn Đo lường Chất lượng Cần Thơ,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/024777/1.json,BỘ Y TẾ |VIỆN PASTEUR NHA TRANG |TRUNG TÂM KIỂM NGHIỆM ATVSTP KHU VỰC MIÊN TRUNG,VIỆN PASTEUR NHA TRANG,VIỆN PASTEUR NHA TRANG,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001427/1.json,VIỆN KIỂM NGHIỆM AN TOÀN VỆ SINH THỰC PHẨM QUỐC GIA |NATIONAL INSTITUTE FOR FOOD CONTROL (NIFC),VIỆN KIỂM NGHIỆM AN TOÀN VỆ SINH THỰC PHẨM QUỐC GIA - BỘ Y TẾ,VIỆN KIỂM NGHIỆM AN TOÀN VỆ SINH THỰC PHẨM QUỐC GIA - BỘ Y TẾ,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/002125/1.json,CÔNG TY TNHH DƯỢC PHẨM LIÊN HỢP,CÔNG TY TNHH DƯỢC PHẨM LIÊN HỢP ,CÔNG TY TNHH DƯỢC PHẨM LIÊN HỢP ,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/028517/1.json,CÔNG TY TNHH DƯỢC PHẨM NHẤT |NHẤTCông Ty TNHH Dược Phẩm Nhất Nhất tại Long An,CÔNG TY TNHH DƯỢC PHẨM NHẤT NHẤT TẠI LONG AN,CÔNG TY TNHH DƯỢC PHẨM NHẤT NHẤT TẠI LONG AN,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001951/1.json,BỘ Y TẾ |VIỆN DINH DƯỠNG QUỐC GIA |NATIONAL INSTITUTE OF NUTRITION (NIN),VIỆN DINH DƯỠNG QUỐC GIA - BỘ Y TẾ,VIỆN DINH DƯỠNG QUỐC GIA - BỘ Y TẾ,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/002205/1.json,VIỆN CÔNG NGHỆ HÓA HỌC,VIỆN CÔNG NGHỆ HOÁ HỌC,VIỆN CÔNG NGHỆ HOÁ HỌC,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/000792/1.json,VIỆN THỰC PHẨM CHỨC NĂNG |TRUNG TÂM KIỂM NGHIỆM,Trung tâm kiểm nghiệm – Viện thực phẩm chức năng,Trung tâm kiểm nghiệm – Viện thực phẩm chức năng,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/000481/1.json,CÔNG TY TNHH MTV KHOA HỌC CÔNG NGHỆ HOÀN VŨ |TRUNG TÂM PHẤN TÍCH CÔNG NGHỆ CAO |HOAN VU HIGH-TECH ANALYTICAL LABORATORY,TRUNG TÂM PHÂN TÍCH CÔNG NGHỆ CAO - Công ty TNHH 1 thành viên Khoa học Công nghệ Hoàn Vũ,TRUNG TÂM PHÂN TÍCH CÔNG NGHỆ CAO - Công ty TNHH 1 thành viên Khoa học Công nghệ Hoàn Vũ,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/000019/1.json,SỞ KHOA HỌC VÀ CÔNG NGHỆ HÀ NỘI |TRUNG TÂM KIỂM NGHIỆM THUỐC - THỰC PHẨM |VÀ NGHIÊN CỬU ỨNG DỤNG,TRUNG TÂM KIỂM NGHIỆM THUỐC - THỰC PHẨM VÀ NGHIÊN CỨU ỨNG DỤNG - SỞ KHOA HỌC VÀ CÔNG NGHỆ HÀ NỘI,TRUNG TÂM KIỂM NGHIỆM THUỐC - THỰC PHẨM VÀ NGHIÊN CỨU ỨNG DỤNG - SỞ KHOA HỌC VÀ CÔNG NGHỆ HÀ NỘI,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/000882/1.json,SỞ KHOA HỌC VÀ CÔNG NGHỆ TP. HỒ CHÍ MINH |TRUNG TÂM DỊCH VỤ PHÂN TÍCH THÍ NGHIỆM TP. HỒ CHÍ MINH |CENTER OF ANALYTICAL SERVICES AND EXPERIMENTATION HCMC,TRUNG TÂM DỊCH VỤ PHÂN TÍCH THÍ NGHIỆM TP.HỒ CHÍ MINH - SỞ KHOA HỌC VÀ CÔNG NGHỆ TP.HỒ CHÍ MINH,TRUNG TÂM DỊCH VỤ PHÂN TÍCH THÍ NGHIỆM TP.HỒ CHÍ MINH - SỞ KHOA HỌC VÀ CÔNG NGHỆ TP.HỒ CHÍ MINH,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/004865/1.json,CÔNG TY Cp DƯỢC HẬU GIANG,CÔNG TY Cp DƯỢC HẬU GIANG,CÔNG TY Cp DƯỢC HẬU GIANG,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/002006/1.json,"BAN QUẢN LÝ AN TOÀN THỰC PHẨM TP. HỒ CHÍ MINH |TRUNG TÂM KIỂM NGHIỆM |THUỐC, MỸ PHẨM, THỰC PHẨM","TRUNG TÂM KIỂM NGHIỆM THUỐC, MỸ PHẨM, THỰC PHẨM - BAN QUẢN LÝ AN TOÀN THỰC PHẨM TP.HỒ CHÍ MINH","TRUNG TÂM KIỂM NGHIỆM THUỐC, MỸ PHẨM, THỰC PHẨM - BAN QUẢN LÝ AN TOÀN THỰC PHẨM TP.HỒ CHÍ MINH",True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/000688/1.json,BỘ Y TẾ |VIỆN Y TẾ CÔNG CỘNG |THÀNH PHỐ HỒ CHÍ MINH,VIỆN Y TẾ CÔNG CỘNG THÀNH PHỐ HỒ CHÍ MINH,VIỆN Y TẾ CÔNG CỘNG THÀNH PHỐ HỒ CHÍ MINH,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/000989/1.json,"CÔNG TY TNHH DV KHCN KHUÊ NAM |KHUE NAM TECHNOLOGY SCIEN |VICES CO.,LTD",CÔNG TY TNHH DV KHCN KHUÊ NAM,CÔNG TY TNHH DV KHCN KHUÊ NAM,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001460/1.json,VINACONTROL - TRUNG TÂM PHẬN TÍCH VÀ THỬ NGHIỆM 1 |GIÁM ĐỐC,Trung tâm phân tích và thử nghiệm 2 thuộc Cty TNHH Giám định Vina control,Trung tâm phân tích và thử nghiệm 2 thuộc Cty TNHH Giám định Vina control,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/012416/1.json,VIỆN DINH DƯỠNG QUỐC GIA |NATIONAL INSTITUTE OF NUTRITION (NIN),Unknown,VIỆN DINH DƯỠNG QUỐC GIA - BỘ Y TẾ,Unknown
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/000682/1.json,SỞ Y TẾ THANH HÓA |TRUNG TÂM KIỂM NGHIỆM,Trung tâm kiểm nghiệm- Sở y tế Thanh Hoá,Trung tâm kiểm nghiệm- Sở y tế Thanh Hoá,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001165/1.json,TRUNG TÂM NGHIÊN CỨU ỨNG DỤNG VÀ KIỂM TRA CHẤT LƯỢNG SẢN PHẨM HI-TECH |HI-TECH APPLIED RESEARCH AND TESTING PRODUCT CENTER |ISO/IEC 17025 - VILAS 866,TRUNG TÂM NGHIÊN CỨU ỨNG DỤNG VÀ KIỂM TRA CHẤT LƯỢNG SẢN PHẨM HI-TECH,TRUNG TÂM NGHIÊN CỨU ỨNG DỤNG VÀ KIỂM TRA CHẤT LƯỢNG SẢN PHẨM HI-TECH,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/033511/1.json,CÔNG TY CỔ PHẦN DƯỢC LIỆU VIỆT NAM,CÔNG TY CỔ PHẦN DƯỢC LIỆU VIỆT NAM,CÔNG TY CỔ PHẦN DƯỢC LIỆU VIỆT NAM,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001957/1.json,TRUNG TÂM PHÂN TÍCH  KỸ THUẬT CAO SÀI GÒNCông ty TNHH Khoa Học và Công Nghệ SÀI GÒN,TRUNG TÂM PHÂN TÍCH KỸ THUẬT CAO SÀI GÒN - Công ty TNHH Khoa học và Công nghệ Sài Gòn,TRUNG TÂM PHÂN TÍCH KỸ THUẬT CAO SÀI GÒN - Công ty TNHH Khoa học và Công nghệ Sài Gòn,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/020396/1.json,TRUNG TÂM KIỂM NGHIỆM MSOIIEC 17025:2005: ĐĂNG KÝ BỘ KH&CN,TRUNG TÂM KIỂM NGHIỆM MEKONGLAB,VIỆN PASTEUR NHA TRANG,False
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/000756/1.json,TRUNG TÂM CHỨNG NHẬN PHÙ HỢP (QUACERT) |VIETNAM CERTIFICATION CENTRE (QUACERT),TRUNG TÂM CHỨNG NHẬN PHÙ HỢP (QUACERT),TRUNG TÂM CHỨNG NHẬN PHÙ HỢP (QUACERT),True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/031951/1.json,Bureau Veritas Viet Nam,BUREAU VERITAS VIETNAM,BUREAU VERITAS VIETNAM,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/003541/1.json,Intertek Vietnam Limited,INTERTEK VIETNAM LIMITED,INTERTEK VIETNAM LIMITED,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/003703/1.json,TRUNG TÂM KIỂM NGHIỆM,"TRUNG TÂM KIỂM NGHIỆM THUỐC, MỸ PHẨM, THỰC PHẨM - SỞ Y TẾ THỪA THIÊN HUẾ",TRUNG TÂM KIỂM NGHIỆM,False
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/002106/1.json,WARRANTEK JOINT STOCK COMPANY - TESTING CENTER,Unknown,Công ty Cổ phần Warrantek,Unknown
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/026066/1.json,DLVN,CÔNG TY CỔ PHẦN DƯỢC LIỆU VIỆT NAM,CÔNG TY CỔ PHẦN DƯỢC LIỆU VIỆT NAM,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/011881/1.json,SỞ Y TẾ HÀ NỘI |TRUNG TÂM Y TẾ DỰ PHÒNG,Unknown,TRUNG TÂM Y TẾ DỰ PHÒNG- SỞ Y TẾ HÀ NỘI,Unknown
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/004238/1.json,TRUNG TÂM KỸ THUẬT THÍ NGHIỆM VÀ ỨNG DỤNG KHCN ĐỒNG THÁP |DONG THAP EXPERIMENT TECHNIQUE AND APPLING SCIENCE TECHNOLOGY CENTER,TRUNG TÂM KỸ THUẬT THÍ NGHIỆM VÀ ỨNG DỤNG KHCN ĐỒNG THÁP,TRUNG TÂM KỸ THUẬT THÍ NGHIỆM VÀ ỨNG DỤNG KHCN ĐỒNG THÁP,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001425/1.json,WARRANTEK JOINT STOCK COMPANY - TESTING CENTER,Công ty Cổ phần Warrantek,Công ty Cổ phần Warrantek,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/029143/1.json,VIỆN NGHIÊN CỨU HẠT NHÂN |TRUNG TÂM PHÂN TÍCH,TRUNG TÂM PHÂN TÍCH - VIỆN NGHIÊN CỨU HẠT NHÂN,TRUNG TÂM PHÂN TÍCH - VIỆN NGHIÊN CỨU HẠT NHÂN,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001544/1.json,CÔNG TY CP DV KHOA HỌC CÔNG NGHỆ CHẤN NAM,CÔNG TY CP DV KHOA HỌC CÔNG NGHỆ CHẤN NAM,CÔNG TY CP DV KHOA HỌC CÔNG NGHỆ CHẤN NAM,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/008717/1.json,CÔNG TY TNHH KHOA HỌC TSL |TRUNG TÂM KIỂM NGHIỆM TSL,TRUNG TÂM KIỂM NGHIỆM TSL - CÔNG TY TNHH KHOA HỌC TSL,TRUNG TÂM KIỂM NGHIỆM TSL - CÔNG TY TNHH KHOA HỌC TSL,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/012849/1.json,WARRANTEK JOINT STOCK COMPANY -TESTING CENTER,Unknown,Công ty Cổ phần Warrantek,Unknown
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/024057/1.json,VIỆN NGHIÊN CỨU & PHÁT TRIỂN |SẢN PHẨM THIÊN NHIÊN |PHÒNG PHÂN TÍCH - KIỂM NGHIỆM,PHÒNG PHÂN TÍCH - KIỂM NGHIỆM - VIỆN NGHIÊN CỨU & PHÁT TRIỂN SẢN PHẨM THIÊN NHIÊN,PHÒNG PHÂN TÍCH - KIỂM NGHIỆM - VIỆN NGHIÊN CỨU & PHÁT TRIỂN SẢN PHẨM THIÊN NHIÊN,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001632/1.json,TRUNG TÂM KỸ THUẬT TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG 1,TRUNG TÂM KỸ THUẬT TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG 1,TRUNG TÂM KỸ THUẬT TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG 1,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/003207/1.json,SỞ Y TẾ VĨNH PHÚC |TRUNG TÂM KIỂM NGHIỆM,TRUNG TÂM KIỂM NGHIỆM - SỞ Y TẾ VĨNH PHÚC,TRUNG TÂM KIỂM NGHIỆM - SỞ Y TẾ VĨNH PHÚC,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001826/1.json,CTY CỔ PHẦN XNK Y TẾ DOMESCO,CTY CỔ PHẦN XNK Y TẾ DOMESCO,CTY CỔ PHẦN XNK Y TẾ DOMESCO,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001684/1.json,CÔNG TY DƯỢC PHẨM VÀ THƯƠNG MẠI THÀNH CÔNG (TNHH) |PHÒNG KIỂM NGHIỆM HÓA LÝ - VI SINH,PHÒNG KIỂM NGHIỆM HOÁ LÝ - VI SINH - CÔNG TY DƯỢC PHẨM VÀ THƯƠNG MẠI THÀNH CÔNG (TNHH),PHÒNG KIỂM NGHIỆM HOÁ LÝ - VI SINH - CÔNG TY DƯỢC PHẨM VÀ THƯƠNG MẠI THÀNH CÔNG (TNHH),True
